store_ID,nb_customers_on_day,open,promotion,sales
415,0,0,0,0.0
27,0,0,0,0.0
404,657,1,1,5399.9025
683,862,1,0,8474.441333333334
920,591,1,1,6294.06
758,569,1,0,3735.22
563,321,1,1,3939.398666666667
930,1367,1,0,7500.54
756,0,0,1,0.0
49,546,1,1,7296.534999999999
787,968,1,0,8045.571642857143
782,472,1,0,4878.926666666666
897,0,0,0,0.0
933,965,1,0,7287.55
218,804,1,0,5745.061166666667
554,499,1,1,4097.09
362,1337,1,1,12180.13
655,560,1,0,5990.269666666667
785,461,1,0,5010.71415079365
690,866,1,1,6315.975
1103,0,0,0,0.0
431,1367,1,1,15459.64
127,642,1,1,4996.458571428571
579,0,0,1,0.0
248,1139,1,0,7534.17
962,0,0,0,0.0
224,515,1,1,7936.906142857143
208,355,1,1,2767.273333333333
401,1063,1,1,12445.7
503,0,0,0,0.0
221,562,1,1,6473.747333333334
268,0,0,0,0.0
799,927,1,1,10836.665666666664
260,894,1,0,6219.3447857142855
1041,594,1,0,5274.681166666665
350,533,1,1,7605.87275
286,0,0,0,0.0
620,709,1,1,7645.020666666667
521,484,1,1,6259.719738095239
649,435,1,1,4338.82757142857
1059,1239,1,1,9909.701666666668
486,373,1,0,2811.11
252,642,1,0,7538.071605172603
656,421,1,1,3588.433234126984
642,394,1,0,2566.7665476190477
655,761,1,1,9191.6
992,627,1,0,4869.75
143,731,1,1,8890.628666666667
421,941,1,1,9382.546666666667
246,1157,1,1,9647.785
960,720,1,1,9853.87
313,697,1,0,5947.84
291,534,1,0,5266.473333333333
924,333,1,0,3273.2236666666668
337,430,1,1,5980.569023809525
1024,607,1,0,4162.56
56,402,1,1,5956.3435714285715
507,532,1,0,5815.9725
970,406,1,0,2959.269408730159
846,828,1,0,7695.062761904758
549,582,1,0,4635.343333333334
1095,852,1,1,7011.73080952381
859,709,1,1,7326.3499999999985
914,1178,1,1,10103.33
888,634,1,0,6352.71
442,517,1,1,5309.266666666666
34,905,1,0,6943.851015873017
199,581,1,0,6875.874190476188
854,657,1,1,7067.0625
611,485,1,1,5842.581333333334
808,528,1,0,5738.167785714288
1105,410,1,0,3316.126666666666
866,445,1,0,6055.4279166666665
222,367,1,0,3164.139816378067
476,753,1,1,6984.653333333334
800,494,1,0,5044.9835
330,408,1,0,3630.309833333334
507,648,1,1,8149.659833333331
98,0,0,0,0.0
1026,1044,1,0,7686.5183333333325
990,719,1,0,7241.59
8,345,1,0,2682.808833333333
